NAS04    SE6611   Auslastung: 86.0%
HD04     SE7466   Auslastung: 97.0%
NAS01    SE4614   Auslastung: 88.0%
HD08     SE8662   Auslastung: 90.0%
NAS02    SE4166   Auslastung: 93.0%
HD05     SE5960   Auslastung: 92.0%
NAS01    SE1537   Auslastung: 91.0%
NAS05    SE4422   Auslastung: 99.0%
HD05     SE3417   Auslastung: 95.0%
HD07     SE1110   Auslastung: 85.0%
NAS07    SE6868   Auslastung: 91.0%
HD03     SE2713   Auslastung: 95.0%
HD01     SE3076   Auslastung: 84.0%
HD01     SE2542   Auslastung: 95.0%
NAS05    SE3535   Auslastung: 89.0%
HD03     SE3246   Auslastung: 95.0%
HD01     SE7861   Auslastung: 85.0%
HD10     SE7124   Auslastung: 97.0%
HD06     SE6046   Auslastung: 98.0%
HD04     SE4988   Auslastung: 87.0%
NAS09    SE5501   Auslastung: 98.0%
HD06     SE3706   Auslastung: 89.0%
NAS06    SE5362   Auslastung: 86.0%
NAS06    SE6835   Auslastung: 93.0%
NAS04    SE1794   Auslastung: 96.0%
HD10     SE2990   Auslastung: 89.0%
NAS05    SE8288   Auslastung: 91.0%
HD05     SE6750   Auslastung: 98.0%
NAS06    SE5041   Auslastung: 94.0%
NAS08    SE6217   Auslastung: 98.0%
NAS04    SE4870   Auslastung: 94.0%
NAS10    SE3995   Auslastung: 93.0%
HD07     SE3738   Auslastung: 88.0%
HD05     SE8406   Auslastung: 85.0%
NAS02    SE8833   Auslastung: 90.0%
NAS02    SE7092   Auslastung: 98.0%
NAS07    SE5126   Auslastung: 99.0%
NAS01    SE1452   Auslastung: 85.0%
HD06     SE1912   Auslastung: 90.0%
NAS09    SE3909   Auslastung: 88.0%
HD06     SE1965   Auslastung: 96.0%
HD07     SE1997   Auslastung: 95.0%
NAS05    SE6697   Auslastung: 81.0%
HD06     SE8491   Auslastung: 90.0%
NAS08    SE6953   Auslastung: 86.0%
HD08     SE3824   Auslastung: 82.0%
HD06     SE5244   Auslastung: 93.0%
HD05     SE3482   Auslastung: 82.0%
HD05     SE5073   Auslastung: 82.0%
NAS01    SE5671   Auslastung: 98.0%
HD02     SE3161   Auslastung: 89.0%
HD07     SE3653   Auslastung: 82.0%
HD02     SE7295   Auslastung: 97.0%
HD03     SE1655   Auslastung: 84.0%
HD07     SE8577   Auslastung: 85.0%
NAS02    SE8032   Auslastung: 86.0%
NAS10    SE6237   Auslastung: 87.0%
NAS09    SE2168   Auslastung: 95.0%
NAS10    SE1367   Auslastung: 91.0%
NAS08    SE2200   Auslastung: 84.0%
HD08     SE2286   Auslastung: 89.0%
HD02     SE3962   Auslastung: 94.0%
HD01     SE7210   Auslastung: 92.0%
HD09     SE1281   Auslastung: 85.0%
NAS05    SE1089   Auslastung: 96.0%
HD04     SE6665   Auslastung: 92.0%
NAS07    SE5447   Auslastung: 81.0%
NAS01    SE8748   Auslastung: 96.0%
NAS05    SE5277   Auslastung: 81.0%
NAS04    SE6526   Auslastung: 80.0%
NAS03    SE3364   Auslastung: 88.0%
NAS03    SE8919   Auslastung: 96.0%
NAS02    SE1623   Auslastung: 96.0%
NAS08    SE5533   Auslastung: 86.0%
NAS04    SE1859   Auslastung: 83.0%
NAS03    SE5842   Auslastung: 99.0%
NAS03    SE4785   Auslastung: 88.0%
HD09     SE5297   Auslastung: 99.0%
HD05     SE5159   Auslastung: 87.0%
HD09     SE2371   Auslastung: 94.0%
HD08     SE4528   Auslastung: 83.0%
NAS01    SE1484   Auslastung: 84.0%
HD02     SE6355   Auslastung: 80.0%
HD10     SE7775   Auslastung: 80.0%
HD08     SE7604   Auslastung: 80.0%
HD07     SE3792   Auslastung: 94.0%
NAS04    SE8203   Auslastung: 86.0%
HD05     SE1826   Auslastung: 84.0%
HD10     SE3108   Auslastung: 83.0%
NAS10    SE5586   Auslastung: 93.0%
HD08     SE5212   Auslastung: 94.0%
HD01     SE3877   Auslastung: 99.0%
NAS03    SE1708   Auslastung: 91.0%
NAS02    SE4699   Auslastung: 83.0%
NAS01    SE4732   Auslastung: 82.0%
HD03     SE6494   Auslastung: 92.0%
HD04     SE1741   Auslastung: 90.0%
NAS06    SE3621   Auslastung: 94.0%
NAS03    SE4251   Auslastung: 99.0%
HD08     SE1196   Auslastung: 80.0%
NAS02    SE3279   Auslastung: 83.0%
HD01     SE5468   Auslastung: 99.0%
NAS04    SE3450   Auslastung: 83.0%
NAS06    SE2029   Auslastung: 83.0%
NAS06    SE8374   Auslastung: 96.0%
HD03     SE5789   Auslastung: 92.0%
NAS08    SE5415   Auslastung: 93.0%
HD02     SE5704   Auslastung: 87.0%
NAS01    SE4080   Auslastung: 88.0%
HD03     SE4902   Auslastung: 82.0%
HD09     SE7039   Auslastung: 92.0%
NAS08    SE2083   Auslastung: 90.0%
